"Nivel 1","Nivel 2","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Formaciones boscosas","","101425.03710514113","101425.03710514113","100167.77652593113","99373.97884553981","99054.23687172905","99047.61568219852","97423.6600651989","97408.56094570612","97408.56094570612","97408.56094570611","97408.56094570611","98973.38867386317","98195.17567083937","97163.21838528049","97852.29472973055","98353.64146788852","98160.93572548422","97673.58223537315","97076.50760087458","98001.80861200177","98545.93658238785","98308.02835883466","98055.21304738721","97978.02613337534","98019.20263331241","98528.71906452326","98590.11432650698","97724.2435039286","96193.57696245637","95768.23415263253","95499.00428434287","95192.1328219298","95646.47060210173","96272.75373567939","96766.5869159988","97036.52499362448","96895.53801423042","96674.15873134388","96391.26941868635","96322.89787302844"
"Formaciones boscosas","Bosque","101425.03710514113","101425.03710514113","100167.77652593113","99373.97884553981","99054.23687172905","99047.61568219852","97423.6600651989","97408.56094570612","97408.56094570612","97408.56094570611","97408.56094570611","98973.38867386317","98195.17567083937","97163.21838528049","97852.29472973055","98353.64146788852","98160.93572548422","97673.58223537315","97076.50760087458","98001.80861200177","98545.93658238785","98308.02835883466","98055.21304738721","97978.02613337534","98019.20263331241","98528.71906452326","98590.11432650698","97724.2435039286","96193.57696245637","95768.23415263253","95499.00428434287","95192.1328219298","95646.47060210173","96272.75373567939","96766.5869159988","97036.52499362448","96895.53801423042","96674.15873134388","96391.26941868635","96322.89787302844"
"Formaciones boscosas","Sabana arbolada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Formaciones boscosas","Manglar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Formaciones boscosas","Bosque inundable","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","","6434.488919443328","6434.488919443328","8836.4217678229","9392.191296841489","10039.167505598612","9943.019275128692","10768.156225336937","10770.465613727498","10770.465613727498","10770.465613727498","10770.465613727498","10169.2199675374","10448.543224978279","10752.675326337168","9894.875269028445","8760.152992242553","8343.940792416433","9113.503043254856","9586.876592339857","8441.795299183397","7601.4991389672505","7993.205065059246","8335.690074238146","8410.781285202844","8255.533943836745","7923.41429568797","7982.496782809908","8966.192473488325","10592.945113694694","10769.721978789057","11042.336734513381","11619.28111138364","11306.21565826056","10470.727184768377","9806.503822297156","9594.107453582772","9784.687497841027","9952.524172839421","9987.79406911436","9487.080554957636"
"Herbazales y arbustales","Herbazal/Arbustal inundable","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","Sabana/Herbazal","3272.170224515243","3272.170224515243","3964.8035923018665","3753.6936758805","4190.862509440636","3563.1724774347804","3719.248600864965","3962.5501332350395","3962.5501332350395","3962.5501332350395","3962.5501332350395","5216.8189001276005","5871.1510400623465","6248.931683718188","5645.206121258268","4390.869506219249","4317.3381871568545","4760.943586684357","4817.4796840205845","4636.690857685058","4677.709918694175","5013.688100346874","4791.909730652905","4325.079720900119","3985.2627715915132","4079.3052953427105","4629.548803389572","5113.860258203254","5523.64772077178","5199.828843006898","5058.574786478075","5437.136926478158","5529.022537270691","5356.481679475136","4945.2155131121435","5024.85223804137","4930.741768085566","4712.389696530263","5239.160699208241","5005.405331975131"
"Herbazales y arbustales","Otras formaciones naturales no forestales","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","Afloramiento rocoso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","Planicie de marea hipersalina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","Herbazal/Arbustal xerófilo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","Arbustal","3162.3186949280853","3162.3186949280853","4871.618175521033","5638.4976209609895","5848.304996157976","6379.846797693912","7048.907624471972","6807.915480492458","6807.915480492458","6807.915480492458","6807.915480492458","4952.4010674098","4577.392184915932","4503.7436426189815","4249.669147770177","4369.283486023303","4026.602605259579","4352.559456570499","4769.396908319273","3805.104441498339","2923.7892202730754","2979.5169647123716","3543.780343585241","4085.7015643027253","4270.271172245232","3844.1090003452587","3352.947979420336","3852.3322152850724","5069.297392922914","5569.89313578216","5983.761948035305","6182.144184905482","5777.1931209898685","5114.24550529324","4861.288309185012","4569.255215541401","4853.945729755461","5240.134476309159","4748.633369906118","4481.675222982506"
"Herbazales y arbustales","Herbazal/Arbustal andino","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Herbazales y arbustales","Herbazal/Arbustal andino inundable","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
